,Alternative,Si,Ri,Qi,Rank,,,,,,,,,,
0,"Healthcare, Telemedicine, and Accessibility for Disabled Individuals",0.427662744,0.135919474,0.181818182,1,,,,,,,,,,
6,Government and Public Services,0.434118197,0.138659999,0.236816443,2,,,,,,,,,,
7,Entertainment and Media,0.516430943,0.121503772,0.280976804,3,,,,,,,,,,
3,Corporate Workspaces,0.523598753,0.121503772,0.303664977,4,,,,,,,,,,
4,Legal and Judicial Systems,0.568044817,0.130771009,0.561232634,5,,,,,,,,,,
8,Humanitarian and Disaster Response,0.562603003,0.132340374,0.563801367,6,,,,,,,,,,
2,Defense and Military,0.558832608,0.133345241,0.564540883,7,,,,,,,,,,
5,Banking and Financial Services,0.578575568,0.133827345,0.633113548,8,,,,,,,,,,
9,Cultural Preservation and Heritage,0.585626316,0.13797886,0.707792208,9,,,,,,,,,,
1,Education and Training,0.561364793,0.161146952,0.923205325,10,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Qi,Rank
,,,,,,,,,,,,,Healthcare and Telemedicine,0.181818182,1
,,,,,,,,,,,,,Government and Public Services,0.236816443,2
,,,,,,,,,,,,,Entertainment and Media,0.280976804,3
,,,,,,,,,,,,,Corporate Workspaces,0.303664977,4
,,,,,,,,,,,,,Legal and Judicial Systems,0.561232634,5
,,,,,,,,,,,,,Humanitarian and Disaster Response,0.563801367,6
,,,,,,,,,,,,,Defense and Military,0.564540883,7
,,,,,,,,,,,,,Banking and Financial Services,0.633113548,8
,,,,,,,,,,,,,Cultural Preservation and Heritage,0.707792208,9
,,,,,,,,,,,,,Education and Training,0.923205325,10
